OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
351;-1460;-73,846583044409158;7,753511390233017;-1460,2999268
352;-1534;-73,836878828136065;7,753511390233017;-1534,0524902
353;-1636;-73,827174611862972;7,753511390233017;-1636,3073730
354;-1781;-73,807766179316786;7,753511390233017;-1781,2862549
355;-1812;-73,798061963043693;7,753511390233017;-1812,6420898
356;-1861;-73,788357746770600;7,753511390233017;-1861,1237793
357;-1914;-73,778653530497493;7,753511390233017;-1914,5432129
358;-1979;-73,768949314224400;7,753511390233017;-1979,9002686
359;-2046;-73,759245097951307;7,753511390233017;-2046,5718994
360;-2109;-73,749540881678215;7,753511390233017;-2109,1840820
361;-2156;-73,739836665405122;7,753511390233017;-2156,5905762
362;-2190;-73,730132449132029;7,753511390233017;-2190,6442871
363;-2234;-73,720428232858936;7,753511390233017;-2234,8422852
364;-2289;-73,710724016585843;7,753511390233017;-2289,1618652
365;-2339;-73,701019800312750;7,753511390233017;-2339,0456543
366;-2373;-73,691315584039657;7,753511390233017;-2373,4821777
367;-2401;-73,681611367766564;7,753511390233017;-2401,5634766
368;-2411;-73,671907151493471;7,753511390233017;-2411,8105469
369;-2411;-73,662202935220378;7,753511390233017;-2411,3781738
370;-2415;-73,652498718947285;7,753511390233017;-2415,9460449
371;-2433;-73,642794502674192;7,753511390233017;-2433,0117188
372;-2455;-73,633090286401099;7,753511390233017;-2455,2473145
373;-2480;-73,623386070128007;7,753511390233017;-2480,4750977
374;-2501;-73,613681853854914;7,753511390233017;-2501,0078125
375;-2513;-73,603977637581821;7,753511390233017;-2513,5573730
376;-2511;-73,594273421308728;7,753511390233017;-2511,7866211
377;-2576;-73,584569205035635;7,753511390233017;-2576,3728027
378;-2649;-73,574864988762542;7,753511390233017;-2649,5305176
379;-1372;-73,865991476955344;7,743807173959922;-1372,8560791
380;-1417;-73,856287260682251;7,743807173959922;-1417,2159424
381;-1476;-73,846583044409158;7,743807173959922;-1476,6242676
382;-1567;-73,836878828136065;7,743807173959922;-1567,0726318
383;-1664;-73,827174611862972;7,743807173959922;-1664,8319092
384;-1784;-73,817470395589879;7,743807173959922;-1784,1696777
385;-1836;-73,807766179316786;7,743807173959922;-1836,3270264
386;-1873;-73,798061963043693;7,743807173959922;-1873,9412842
387;-1916;-73,788357746770600;7,743807173959922;-1916,1555176
388;-1963;-73,778653530497493;7,743807173959922;-1963,4608154
389;-2014;-73,768949314224400;7,743807173959922;-2014,7692871
390;-2067;-73,759245097951307;7,743807173959922;-2067,5097656
391;-2120;-73,749540881678215;7,743807173959922;-2120,0288086
392;-2165;-73,739836665405122;7,743807173959922;-2165,7448730
393;-2204;-73,730132449132029;7,743807173959922;-2204,9975586
394;-2250;-73,720428232858936;7,743807173959922;-2250,8349609
395;-2305;-73,710724016585843;7,743807173959922;-2305,6821289
396;-2352;-73,701019800312750;7,743807173959922;-2352,7773438
397;-2377;-73,691315584039657;7,743807173959922;-2377,4174805
